speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit,winner
Jim Lehrer,"Good evening. On behalf of the Commission on Presidential Debates I am pleased to welcome you to this first presidential debate of the 1988 campaign. Im Jim Lehrer of the McNeil- Lehrer News Hour. My colleagues on the panel are John Mashek of The Atlanta Journal- Constitution; Ann Groer of The Orlando Sentinel; and Peter Jennings of ABC News. For the next 90 minutes we will be questioning the candidates for president of the United States following a format designed and agreed to by representatives of the two candidates. The candidates are Vice President George Bush, the Republican nominee; Governor Michael Dukakis, the Democratic nominee. (Applause)",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Jim Lehrer,"Our questions this evening will be about equally divided between foreign and domestic policy matters. The first question by agreement between the two candidates goes to Vice President Bush. It is a domestic question. You have two minutes for an answer, sir. The polls say the number one domestic issue to a majority of voters is drugs. What is there about these times that drives or draws so many Americans to use drugs?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
George H. W. Bush,"I think weve seen a deterioration of values. I think for a while as a nation we condoned those things we should have condemned. For a while, as I recall, it even seems to me that there was talk of legalizing or decriminalizing marijuana and other drugs, and I think thats all wrong. So weve seen a deterioration in values, and one of the things that I think we should do about it in terms of cause is to instill values into the young people in our schools. We got away, we got into this feeling that value- free education was the thing. And I dont believe that at all I do believe there are fundamental rights and wrongs as far as use. And, of course, as far as the how we make it better, yes, we can do better on interdiction. But weve got to do a lot better on education, and we have to do, be tougher on those who commit crimes. Weve got to get after the users more. We have to change this whole culture. You know, I saw a movie – “Crocodile Dundee. ” And I saw the cocaine scene treated with humor, as though this was a humorous little incident. And its bad. Everybody ought to be in this thing. Entertainment industry, people involved in the schools, education. And it isnt a Republican or a Democrat or a liberal problem. But we have got to instill values in these young people. And I have put forward a many- point drug program that includes what I would do as president of the United States; in terms of doing better on interdiction; and in terms of better in the neighborhoods. But I think were all in this together, and my plea to the American people is values in the schools.",Pres,1988,1988-09-25,1,What actions should be taken to address the deterioration of values in society and improve the education of young people regarding substance use?,"Our questions this evening will be about equally divided between foreign and domestic policy matters. The first question by agreement between the two candidates goes to Vice President Bush. It is a domestic question. You have two minutes for an answer, sir. The polls say the number one domestic issue to a majority of voters is drugs. What is there about these times that drives or draws so many Americans to use drugs?",0.8933168054,0.9064998627,0.737621069,0.4598554969,Republican,What is it about these times that drives so many Americans to use drugs?,3.0,3.0,1.0
Jim Lehrer,"Governor, you have one minute to respond.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"I agree with Mr. Bush that values are important. But its important that our leaders demonstrate those values from the top. That means those of us who are elected to positions of political leadership have to reflect those values ourselves. Here we are with a government thats been dealing with a drug- running Panamanian dictator. Weve been dealing with him; hes been dealing drugs to our kids. Governors like me and others have been trying to deal with the consequences. I remember being in a high school in my own state as we were organizing something we call the Governors Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help. Were providing that young woman with help. But I want to be a president of the United States who makes sure that we never again do business with a drug- running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers. Values begin at the top, in the White House. Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.",Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Jim Lehrer,"Governor, a follow- up question. You have two minutes to answer it. Are you suggesting, sir, that President Reagan is one of the causes of the drug problem in this country?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"Im saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention. And Mr. Bush is right – the two go hand in hand. But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we dont understand that that sends out a very, very bad message to our young people, its a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you. Now, Ive outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together. But we also have to take demand seriously. You know, we have five percent of the worlds population in this country. Were consuming 50 percent of the worlds cocaine. Doing better in the neighborhoods. But I think were all in this together, and my plea to the American people is values in the schools.",Pres,1988,1988-09-25,1,What responsibilities do political leaders have in addressing drug trafficking and prevention?,"Governor, a follow- up question. You have two minutes to answer it. Are you suggesting, sir, that President Reagan is one of the causes of the drug problem in this country?",0.845027566,0.9081152678,0.7189227343,0.495670408,Democratic,Are you suggesting that President Reagan is one of the causes of the drug problem in this country?,3.0,3.0,0.0
Jim Lehrer,"Governor, you have one minute to respond.",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
Michael Dukakis,"I agree with Mr. Bush that values are important. But its important that our leaders demonstrate those values from the top. That means those of us who are elected to positions of political leadership have to reflect those values ourselves. Here we are with a government thats been dealing with a drug- running Panamanian dictator. Weve been dealing with him; hes been dealing drugs to our kids. Governors like me and others have been trying to deal with the consequences. I remember being in a high school in my own state as we were organizing something we call the Governors Alliance Against Drugs, and a young 16 year old girl coming up to me, desperate, addicted, dependent, saying, Governor, I need help. Were providing that young woman with help. But I want to be a president of the United States who makes sure that we never again do business with a drug- running Panamanian dictator, that we never again funnel aid to the contras through convicted drug dealers. Values begin at the top, in the White House. Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.",Pres,1988,1988-09-25,1,,,,,,,Democratic,,,,0.0
Jim Lehrer,"Governor, a follow- up question. You have two minutes to answer it. Are you suggesting, sir, that President Reagan is one of the causes of the drug problem in this country?",Pres,1988,1988-09-25,0,,,,,,,Moderator,,,,
