speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert,party,question_clean,qud_answer_fit,qud_question_fit
Chris Wallace,"Good evening. From the Health Education Campus of Case Western Reserve University and the Cleveland Clinic I'm Chris Wallace of Fox News and I welcome you to the first of the 2020 presidential debates between President Donald J. Trump and former Vice President Joe Biden. This debate is sponsored by the Commission on Presidential Debates. The commission has designed the format, six roughly 15- minute segments with two- minute answers from each candidate to the first question, then open discussion for the rest of each segment. Both campaigns have agreed to these rules. For the record, I decided the topics and the questions in each topic. I can assure you none of the questions has been shared with the commission or the two candidates. This debate is being conducted under health and safety protocols designed by the Cleveland Clinic, which is serving as the health security adviser to the commission for all four debates. As a precaution, both campaigns have agreed the candidates will not shake hands at the beginning of tonight's debate. The audience here in the hall has promised to remain silent. No cheers, no boos, or other interruptions so we, and more importantly you, can focus on what the candidates have to say. No noise, except right now as we welcome the Republican nominee, President Trump, and the Democratic nominee, Vice President Biden. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,"How are you doing, man? ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,How are you doing ?,Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,I'm well.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,"Gentlemen, a lot of people have been waiting for this night. So let's get going. Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the court. You say the Constitution is clear about your obligation and the Senate's to consider a nominee to the court. Vice President Biden, you say that this is an effort by the president and Republicans to jam through an appointment and what you call an abuse of power. My first question to both of you tonight, why are you right and make the argument you make, and your opponent wrong? And where do you think a Justice Barrett would take the court? President Trump, on the first segment you go first. Two minutes. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"Thank you very much, Chris. I will tell you very simply we won the election. Elections have consequences. We have the Senate, we have the White House and we have a phenomenal nominee respected by all; top, top academic. Good in every way. Good in every way. In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places. So I think she's going to be fantastic. We have plenty of time. Even if we did it after the election itself, I have a lot of time after the election, as you know. So I think that she will be outstanding. She's going to be as good as anybody that has served on that court. We really feel that. We have a professor at Notre Dame, highly respected by all; said she's the single greatest student he's ever had. He's been a professor for a long time at a great school. And we just - - we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise. And by the way, the Democrats, they wouldn't even think about not doing it. If they had - - the only difference is they'd try and do it faster. There's no way they would give it up. They had Merrick Garland, but the problem is they didn't have the election. So they were stopped. And probably that would happen in reverse also. Definitely it would happen in reverse. So we won the election and we have the right to do it, Chris. ",Pres,2020,2020-09-29,1,What justification does the speaker provide for their right to nominate a Supreme Court candidate following their election victory?,"Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the court. You say the Constitution is clear about your obligation and the Senate's to consider a nominee to the court. Vice President Biden, you say that this is an effort by the president and Republicans to jam through an appointment and what you call an abuse of power. My first question to both of you tonight, why are you right and make the argument you make, and your opponent wrong? And where do you think a Justice Barrett would take the court?",0.9051448107,0.930631876,0.7773368359,0.5983941555,Republican,"Why are you right in your arguments regarding the Supreme Court nomination, and where do you think a Justice Barrett would take the court?",3,3
Chris Wallace,"President Trump, thank you. Same question to you, Vice President Biden. You have two minutes. ",Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Joe Biden,"Well, first of all, thank you for doing this and looking forward to this, Mr. President. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"Thank you, Joe. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,"I - - the American people have a right to have a say in who the Supreme Court nominee is. And that say occurs when they vote for a - - United States senators and when they vote for the president of United States. They're not going to get that chance now because we're in the middle of an election already. The election has already started. Tens of thousands of people have already voted, and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is. Because that's the only way the American people get to express their view is by who they elect as president and who they elect as vice president. Now, what's at stake here is the president has made it clear he wants to get rid of the Affordable Care Act. He's been running on that, he ran on that, and he's been governing on that. He's in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having insurance - - health insurance now, if it - - if they - - if it goes into court. And - - and the justice - - and I have nothing - - I'm not opposed to the justice, as she seems like a very fine person. But she's written before she went into the bench - - which is her right - - that she thinks that the Affordable Care Act is not constitutional. The other thing that's on the court - - and if it's struck down, what happens. Women's rights are fundamentally changed. Once again, a woman could be held - - pay more money because she has a pre- existing condition, a pregnancy. ",Pres,2020,2020-09-29,1,Why should the appointment of a Supreme Court nominee be postponed until after the election?,"Our first subject is the Supreme Court. President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the court. You say the Constitution is clear about your obligation and the Senate's to consider a nominee to the court. Vice President Biden, you say that this is an effort by the president and Republicans to jam through an appointment and what you call an abuse of power. My first question to both of you tonight, why are you right and make the argument you make, and your opponent wrong? And where do you think a Justice Barrett would take the court?",0.9020672441,0.9184020162,0.771674037,0.516242981,Democratic,"Why are you right in your argument regarding the nomination of Amy Coney Barrett, and where do you think a Justice Barrett would take the court?",3,3
Joe Biden,"We're able - - they're able to charge women more for the same exact procedure a man did - - gets. And that ended when we, in fact, passed the Affordable Care Act. And there's 100 million people who have pre- existing conditions, and they'll be taken away as well, those pre- existing conditions; insurance companies are going to love this. And so it's just not appropriate to do this before this election. If he wins the election and the Senate is Democrat or Republican, then he goes forward. If not, we should wait until February. ",Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Chris Wallace,All right .,Pres,2020,2020-09-29,0,,,,,,,Moderator,,,
Donald Trump,"There aren't 100 million people with pre- existing condition. As far as say is concerned, the people already had their say. They - - ok. Justice Ginsburg said very powerfully, very strongly, at some point, 10 years ago or so, she said a president and the Senate is elected for period of time but a president is elected for four years. We're not elected for three years. I'm not elected for three years. So, we have the Senate, we have president - - ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,He's elected to the next election.,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"- - during that period of time, during that period of time, we have an opening. I'm not elected for three years, I'm elected for four years. And 100 million people - - ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
Joe Biden,The election has already started - -,Pres,2020,2020-09-29,1,,,,,,,Democratic,,,
Donald Trump,"Joe, the 100 million people is totally wrong. I don't know where you got that number. The bigger problem that you have is that you're going to extinguish 180 million people with their private health care that they're very happy with. ",Pres,2020,2020-09-29,1,,,,,,,Republican,,,
