speaker,text,type,election_year,date,candidate,qud,question,similarity_cls,similarity_max,similarity_mean,similarity_sbert
Jimmy Carter,"Yes. First of all is to recognize a tremendous economic strength in this country and to set the putting to – back to work of our people as a top priority. This is uh – an effort that ought to be done primarily by strong leadership in the White House, the inspiration of our people, the tapping of uh – business, agriculture, industry, labor and government at all levels to work on this uh project. Well never have uh – an end to the inflationary spiral, and well never have a balanced budget until we get our people back to work. There are several things that can be done specifically that are not now being done. First of all, to channel research and development funds into areas that will provide uh large numbers of jobs. Secondly, we need to have a commitment in the uh private sector uh – to cooperate with government in matters like housing. Here a very small investment of taxpayers money – in the housing field can bring large numbers of extra jobs, and the guarantee of mortgage loans, and the uh – putting forward of uh – two- 0- two programs for housing for older people and so forth to cut down the roughly 20 percent unemployment that now exists in the – in the construction industry. Another thing is to deal with our – uh needs in the central cities, where the unemployment rate is extremely high; sometimes among minority groups, or those who dont speak English, or whore black, or young people, or – 40 percent of the employment. Here a CCC type program would be appropriate to channel money into the ah – cha- in – in into the sharing with the private sector and also local and state governments to employ young people who are now out of work. Another very important – uh aspect of our – uh economy would be to increase production in every way possible, uh to hold down – uh taxes on individuals, and to uh shift the tax burdens onto those who have avoided paying taxes in the past. These uh – kinds of specific things, uh none of which are being done now, would be a great help in – in reducing uh unemployment. There is uh – uh an additional factor that needs to be done and covered very – very succinctly, and that is, to make sure that we have a good relationship between management – business on the one hand, and labor, on the other. In a > Transfer interrupted! ery high, we might channel specific uh targeted job – job – uh opportunities by paying part of the salary of unemployed people – uh and also sharing with uh – local governments the uh – payment of salaries which would uh – let us cut down the unemployment rate much lower, before we hit the inflationary level. But I believe that by the end of the first four years of uh – of the next term we could have the unemployment down to 3 percent adult unemployment, which is about uh – 4 to 4 and a half percent overall uh controlled inflation rate and have a uh balance of growth of about – uh 4 to 6 percent, around 5 percent which would give us a balanced budget.",Pres,1976,1976-09-23,1,What strategies should be implemented to reduce unemployment and achieve a balanced budget?,"Mr. President, Governor Carter. Governor, in an interview with the Associated Press last week, you said you believed these debates would alleviate a lot of concern that some voters have about you. Well, one of those concerns, not an uncommon one about uh – candidates in any year, is that many voters say they dont really know where you stand. Now, you have made jobs your number one priority and you have said you are committed to a drastic reduction in unemployment. Can you say now, Governor, in specific terms, what your first step would be next January, if you are elected, to achieve that.",0.69956267,0.8995987,0.66856587,0.33871007
Gerald Ford,"At the time, Mr. Gannon, that I made the recommendation for a $28 billion tax cut – three- quarters of it to go to individual taxpayers and 25 percent to American business. I said at the time that we had to hold the lid an federal spending, that for every dollar of a tax reduction we had to have an equal reduction in federal expenditures – a one- for- one proposition. And I recommended that to the Congress with a budget ceiling of three hundred and ninety- five billion dollars, and that would have permitted us to have a $25 billion tax reduction. In my tax reduction program for middle- income taxpayers, I recommended that the Congress increase personal exemptions from seven hundred and fifty dollars per person to one thousand dollars per person. That would mean, of course, that for a family of four that that family would have a thousand dollars more personal exemption – money that they could spend for their own purposes, money that the government wouldnt have to spend. But if we keep the lid on federal spending, which I think we can – with the help of the Congress, we can justify fully a $28 billion tax reduction. In the budget that I submitted to the Congress in January this year, I re- recommended a 50 percent cutback in the rate of growth of federal spending. For the last ten years the budget of the United States has grown from uh – about 11 percent per year. We cant afford that kind of growth in federal spending. And in the budget that I recommended we cut it in half – a growth rate of 5 to 5 and one- half percent. With that kind of limitation, on federal spending, we can fully justify the tax reductions that I have proposed. And it seems to me with the stimulant of more money in the hands of the taxpayers, and with more money in the hands of business to expand, to modernize, to provide more jobs, our economy stimulated so that well get more revenue and well have a more prosperous economy.",Pres,1976,1976-09-23,1,What is the rationale behind proposing a tax cut while ensuring federal spending is reduced correspondingly?,"Mr. President, I would like to continue for a moment on this uh question of taxes which you have just raised. You have said that you favor more tax cuts for middle- income Americans – even those earning up to $30 thousand a year. That presumably would cost the Treasury quite a bit of money in lost revenue. In view of the very large budget deficits that you have accumulated and that are still in prospect, how is it possible to promise further tax cuts and to reach your goal of balancing the budget?",0.8308008,0.9292891,0.81141937,0.6178336
Gerald Ford,"That tax bill does not entirely meet the criteria that I established. I think the Congress should have uh – added another $10 billion reduction in personal income taxes, including the increase of personal exemptions from seven hundred and fifty to a thousand dollars. And Congress could have done that if the budget committees of the Congress, and the Congress as a whole, had not increased the spending that I recommended in the budget. Im sure that you know that in the resolutions passed by the Congress, that have added about $17 billion in more spending, by the Congress over the budget that I recommended. So I would prefer in that tax bill to have an additional tax cut and a further limitation on federal spending. Now this tax bill – that hasnt reached the White House yet, but is expected in a day or two – its about fifteen hundred pages. It has some good provisions in it. It has – uh left out some that I have recommended, unfortunately. On the other hand, uh when you have a bill of that magnitude, with – tho- those many provisions, a president has to sit and decide if theres more good than bad. And from the a- analysis that Ive made so far, it seems to me that that tax bill does uh – justify my signature and my approval.",Pres,1976,1976-09-23,1,"What are the shortcomings of the tax bill, and how would the speaker prefer it to be amended?","Mr. President, to follow up a moment, uh – the Congress has passed a tax bill which is before you now, which did not meet exactly the uh – sort of outline that you requested. What is your intention on that bill, uh – since it doesnt meet your – your requirements? Do you plan to sign that bill?",0.8592465,0.9261866,0.791353,0.59027624
Jimmy Carter,"Well, as a matter of fact there is. If we assume the ah – uh – a rate of growth of our economy, equivalent to what it was during President Johnson, President Kennedy, even before the – the – the – uh wa uh – Vietnese- namese War, and if we assume that at the end of the four- year period we can cut our unemployment rate down to 4 to 4 and a half percent – under those circumstances, even assuming no elimination of unnecessary programs and assuming an increase in the ad- in the allotment of money to finance programs, increasing as the inflation rate does – my economic projections, I think confirmed by the House uh – and the Senate committees, have been with the $60 billion extra amount of money that can be spent in fiscal year 81 which will be the last year of this next term. Within that sixty- billion dollars increase there would be fit the programs that I promised the American people. I might say too, that – that if we see that these goals cannot be reached – and I believe theyre reasonable goals – then I would cut back on the rate of implement- implementation of new programs in order to accommodate a balanced budget by fiscal year 81 which is the last year of the next term. I believe that we ought to have a balanced budget during normal economic circumstances. And uh – these projections have been very carefully made. I stand behind them. And if they should be in error slightly on the down side, then Ill phase in the programs that weve uh – advocated, more slowly.",Pres,1976,1976-09-23,1,How can the proposed programs be financed while achieving a balanced budget by fiscal year 1981?,"Uh Governor Carter, you proposed a number of new or enlarged programs, including jobs, health, welfare reform, child care, aid to education, aid to cities, changes in social security and housing subsidies. Youve also said that you wanna balance the budget by the end of your first term. Now you havent put a price tag on those programs, but even if we price them conservatively and we count for full employment by the end of your first term, and we count for the economic growth that would occur during that period, there still isnt enough money to pay for those programs and balance the budget by any – any estimates that Ive been able to see. So, in that case what would give?",0.7169584,0.91307896,0.7934536,0.64574945
Jimmy Carter,"I believe that its accurate to say that – that the – that the committees to whom you refer with the – the employment that you uh – state, and with the 5 to 5 and a half percent growth rate in our economy, that the uh – projections would be a uh – a $60 billion increase in the amount of money that wed have to spend in l981 compared to now. And uh – with that uh – in that framework would befit the – any improvements in the programs. Now this does not include uh – any uh – uh extra control over uh unnecessary spending, the weeding out of obsolete or obsolescent programs. Uh – well have uh – a safety version built in with complete reorganization of the executive branch of government which I am pledged to do. The present bureaucratic structure of the – of the Federal Government is a mess. And if Im elected president thats gonna be a top priority of mine to completely revise the structure of the federal government, to make it economical, efficient, purposeful and manageable for a change. And also, Im going to institute zero- based budgeting which I used four years in Georgia, which uh – assesses every program every year, and eliminates those programs that are obsolete or obsolescent. But with these projections, we will have a balanced budget by fiscal year 1981, if Im elected president. Keep my promises to the American people. And its just predicated on very modest, but I think accurate, projections of employment increases and uh – a growth in our national economy equal to what was experienced under Kennedy, Johnson, before the Vietnam War.",Pres,1976,1976-09-23,1,How will the proposed reorganization of the federal government and budget strategies ensure a balanced budget by fiscal year 1981?,"Governor, uh – according to the budget committees of the Congress tha- tha- tha- that you referred to, if we get to full employment – what they project at a 4 percent unemployment – and, as you say, even allowing for the inflation in the programs, there would not be anything more than a surplus of $5 billion by the end of ninet- by 1981. And conservative estimates of your programs would be that theyd be about 85 to a hundred billion dollars. So how – how do you say that youre going to be able to do these things and balance the budget?",0.79268396,0.9193271,0.7712586,0.5997561
Gerald Ford,"The amnesty program that I recommended in Chicago in September of 1974 would give to all draft evaders and – uh military deserters the opportunity to earn their uh – good record back. About fourteen to fifteen thousand did take advantage of that program. We gave them ample time. I am against- an across- the- board pardon of draft evaders or military deserters. Now in the case of Mr. Nixon, the reason the – the pardon was given, was that, when I took office this country was in a very, very divided condition. There was hatred, there was divisiveness – uh people had lost faith in their government in many, many respects. Mr. Nixon resigned, and I became president. It seemed to me that if I was to uh adequately and effectively handle the problems of high inflation, a growing recession, the uh – involvement of the United States still in Vietnam that I had to give a hundred percent of my time to those two major problems. Mr. Nixon resigned. That is disgrace. The first President out of thirty- eight that ever resigned from public office under pressure. So when you look at the penalty that he paid, and when you analyze the requirements that I had – to spend all of my time working on the economy, which was in trouble, that I inherited; working on our problems in Southeast Asia – which were still plaguing us – it seemed to me that Mr. Nixon had been penalized enough by his resignation in disgrace and the need, and necessity for me to concentrate on the problems of the country fully justified the action that I took.",Pres,1976,1976-09-23,1,What justification can be given for the pardon of Richard Nixon in light of the national crises faced at the time?,"Mr. President, when you came into office you spoke very eloquently of the need for a time for healing, and very early in your administration you went out to Chicago and you announced, you proposed a program of uh case- by- case pardons for draft resisters to restore them to full citizenship. Some fourteen thousand young men took advantage of your offer, but another ninety thousand did not. In granting the pardon to former President Nixon, sir, part of your rationale was to put Watergate behind us to – if I may quote you again – truly end our long national nightmare. Why does not the same rationale apply now, today, in our Bicentennial year, to the young men who resisted in Vietnam, and many of them still in exile abroad?",0.8249526,0.9292612,0.8357233,0.6924149
Gerald Ford,"Well, Mr. Carter has uh indicated that uh – he would give a blanket pardon to all uh – draft evaders. I do not agree with that point of view. I gave, in September of 1974, an opportunity for all draft evaders, all deserters, to come in voluntarily, clear their records by earning an opportunity to restore their good citizenship. I think we gave them a good opportunity – were – I dont think we should go any further.",Pres,1976,1976-09-23,1,What is your stance on granting pardons to draft evaders?,"I take it then, sir, that you do not believe that uh – it is – that you are going to reconsider and uh – think about those ninety thousand who are still abroad. Uh – have they not been penalized enough – many of em been there for years?",0.9055494,0.9110856,0.736838,0.2652403
Jimmy Carter,"Well, Ive been through this before, Mr. Gannon, as the governor of Georgia. When I took aver we had uh a bureaucratic mess, like we have in Washington now, and we had three hundred agencies, departments, bureaus, commissions – uh some uh – fully budgeted, some not, but all having responsibility to carry out that was in conflict. And we cut those three hundred – uh agencies and so forth down substantially. We eliminated two hundred and seventy- eight of them. We set up a simple structure of government that could be administrated fairly and it was a – a tremendous success. It hasnt been undone since I was there. It resulted also in an ability to reshape our court system, our prison system, our education system, our mental health programs and – and a clear assignment of responsibility and – and authority and also to have uh our people once again understanding control our government. I intend to do the same thing if Im elected president. When I get to Washington, coming in as an outsider, one of the major responsibilities that – that I will have on my shoulder is a complete reorganization of the – of the executive branch of government. We now have uh – a greatly expanded White House staff. When Mr. Nixon went in office, for instance, we had three and a half million dollars spent on – on the White House and its staff. That has escalated now to sixteen and a half million dollars, in the last uh Republican administration. This needs to be changed. We need to put the responsibilities back on the cabinet members. We also need to have a great reduction in agencies and programs. For instance, we now have uh – in the health area three hundred and two different programs administered by eleven major departments and agencies, sixty other advisory commissions responsible for this. Medicaids in one agency; Medicare is in a different one. The – the check on the quality of health care is in a different one. None of them uh are responsible for health care itself. This makes it almost impossible for us to have a good health program. We have uh – just advocated uh – this past week a consolidation of the responsibilities for energy. Our country now has no comprehensive energy program or policy. We have twenty different agencies in the federal government responsible for the production, the regulation, the uh – information about energy, the conservation of energy, spread all over government. This is a – a gross waste of money, so tough, competent management of government, giving us a simple efficient purposeful and manageable government would be a great step forward and if Im elected – and I intend to be – then its gonna be done.",Pres,1976,1976-09-23,1,What plans do you have for reorganizing the executive branch of the government to improve efficiency and accountability?,"Governor Carter, you have promised a sweeping overhaul of the federal government, including a reduction in the number of government agencies – you say it would go down about two hundred from some nineteen hundred. That sounds, indeed, like a very deep cut in the federal government. But isnt it a fact that youre not really talking about fewer federal employees or less government spending, but rather that you are talking about reshaping the federal government, not making it smaller?",0.8457196,0.9394605,0.8462852,0.46610063
Jimmy Carter,"I cant say for sure that we would have fewer federal employees when I go out of office than when I come in. It took me about three years to completely reorganize the Georgia government. The last year I was in office uh – our budget was – was actually less than it was a year before, uh which showed a great uh improvement. Also, we had a – a 2 percent increase in the number of employees the last year. But it was a tremendous shift from administrative jobs into the delivery of services. For instance, we uh – completely revised our prison system. We established eighty- four new mental health treatment centers. And we shifted people out of administrative jobs into the field to deliver better services. The same thing will be done uh – at the federal government level. I – I accomplished this with s – substantial reductions in employees in some departments. For instance, in the Transportation Department uh we had uh – we cut back about 25 percent of the total number of employees. In giving our people better mental health care, we increased the number of employees. But the efficiency of it, the simplicity of it, the uh ability of people to understand their own government and control it was a – was a uh – substantial benefit derived from complete reorganization. We uh – have got to do that at the federal government level. If we dont, the bureaucratic mess is going to continue. Theres no way for our people now to understand what their government is. Theres no way to get the answer to a question. When you come to Washington to try to – as a governor – to try to begin a new program for your people, like uh the treatment of drug addicts, I found there were thirteen different federal agencies that I had to go to, to manage the uh drug treatment program. In the Georgia government we only had one agency responsible for drug treatment. This is the kind of change that would be made. And uh – it would be of – of tremendous benefit in long- range planning, in tight budgeting, uh saving the taxpayers money, making the government more efficient, cutting down on bureaucratic waste, having a clear delineation of authority and responsibility of employees, and giving our people a better chance to understand and control their government.",Pres,1976,1976-09-23,1,What changes are necessary to improve efficiency and reduce bureaucracy in the federal government?,"Well, Id like to – to press my question on the number of federal employees – whether you would really plan to reduce the overall – uh number, or – or merely put them in different departments and relabel them. Uh – in your energy plan, you consolidate a number of a – agencies into one, or you would, but uh does that really change the overall?",0.84573114,0.9174051,0.7409415,0.49378395
Gerald Ford,"Well, in the uh – last two years, as I indicated before, we had a very tough time. We were faced with uh – heavy inflation, over 12 percent; we were faced with substantial unemployment. But in the last uh – twenty- four months weve turned the economy around and weve brought inflation down to under 6 percent, and we have reduced the uh – well, we have added employment of about four million in the last seventeen months to the point where we have eighty- eight million people working in America today – the most in the history of the country. The net result is we are going to have some improvement in our receipts. And I think well have some decrease in our disbursements. We expect to have a lower deficit in fiscal year 1978. We feel that with this improvement in the economy; we feel with more receipts and fewer disbursements we can in a moderate way increase, as I recommended, over the next ten years a new parks program that would cast a billion and a half dollars, doubling our national park system. We have recommended that in the h- housing program we can reduce down payments and moderate monthly payments. But that doesnt cost any more as far as the federal treasury is concerned. We believe that we can uh do a better job in the area of crime, but that requires a tougher sentencing, mandatory certain prison sentences for those who violate our criminal laws. We – uh believe that uh you can revise the federal criminal code, which has not been revised in a good many years. That doesnt cost any more money. We believe that you can uhh – do something more effectively with a moderate increase in money in the drug abuse program. We feel that uh – in education we can have a slight increase – not a major increase. Its my understanding that Governor Carter has indicated that uh – he approves of a $30 billion uh – expenditure by the federal government as far as education is concerned. At the present time were spending roughly three billion five hundred million dollars. I dont know where that money would come from. But as we look at the quality- of- life programs – jobs, health, education, crime, recreation – we feel that as we move forward with a healthier economy, we can absorb the small necessary cost that will be required.",Pres,1976,1976-09-23,1,How has the improvement in the economy impacted federal spending and programs for quality of life?,"Mr. President, at Vail, after the Republican convention, you announced that you would now emphasize five new areas; among those were jobs and housing and health and improved recreational facilities for Americans. And you also added crime. You also mentioned education. For two years youve been telling us that we couldnt do very much in these areas because we couldnt afford it; and in fact we do have a $50 billion deficit now. In rebuttal to Governor Carter a little bit earlier, you said that if there were to be any surplus in the next few years you thought it should be turned back to the people in the form of tax relief. So how are you going to pay for any new initiatives in these areas you announced at Vail you were going to now stress?",0.7345803,0.92073625,0.7693417,0.44768256
