speaker,text,type,election_year,date,candidate
Jim Lehrer,"Good evening, and welcome to the first of 3 debates among the major candidates for president of the United States, sponsored by the Commission on Presidential Debates. The candidates are; independent candidate Ross Perot, Governor Bill Clinton, the Democratic nominee, and President George Bush, the Republican nominee. I am Jim Lehrer of the MacNeil- Lehrer News Hour on PBS, and I will be the moderator for this 90- minute event, which is taking place before an audience in the athletic complex on the campus of Washington University in St. Louis, Missouri. Three journalists will be asking questions tonight. They are John Mashek of The Boston Globe, Ann Compton of ABC News, and Sander Vanocur, a freelance journalist. We will follow a format agreed to by representatives of the Clinton and Bush campaigns. That agreement contains no restrictions on the content or subject matter of the questions. Each candidate will have up to 2 minutes for a closing statement. The order of those, as well as the questioning, was determined by a drawing. The first question goes to Mr. Perot. He will have 2 minutes to answer, to be followed by rebuttals of one minute each from Governor Clinton and then President Bush. Gentlemen, good evening. The first topic tonight is what separates each of you from the other. Mr. Perot, what do you believe tonight is the single most important separating issue of this campaign?",Pres,1992.0,1992-10-11,0.0
Ross Perot,"I think the principal that separates me is that 5 and a half million people came together on their own and put me on the ballot. I was not put on the ballot by either of the 2 parties; I was not put on the ballot by any PAC money, by any foreign lobbyist money, by any special interest money. This is a movement that came from the people. This is the way the framers of the Constitution intended our government to be, a government that comes from the people. Over time we have developed a government that comes at the people, that comes from the top down, where the people are more or less treated as objects to be programmed during the campaign with commercials and media events and fear messages and personal attacks and things of that nature. The thing that separates my candidacy and makes it unique is that this came from millions of people in 50 states all over this country who wanted a candidate that worked and belonged to nobody but them. I go into this race as their servant, and I belong to them. So this comes from the people.",Pres,1992.0,1992-10-11,1.0
Jim Lehrer,"Governor Clinton, a one minute response.",Pres,1992.0,1992-10-11,0.0
Bill Clinton,"The most important distinction in this campaign is that I represent real hope for change, a departure from trickle- down economics, a departure from tax and spend economics, to invest in growth. But before I can do that, I must challenge the American people to change, and they must decide. Tonight I say to the President; Mr. Bush, for 12 years youve had it your way. Youve had your chance and it didnt work. Its time to change. I want to bring that change to the American people. But we must all decide first we have the courage to change for hope and a better tomorrow.",Pres,1992.0,1992-10-11,1.0
Jim Lehrer,"President Bush, one minute response, sir. PRESIDENT",Pres,1992.0,1992-10-11,0.0
George H. W. Bush,"Well, I think one thing that distinguishes is experience. I think weve dramatically changed the world. Ill talk about that a little bit later, but the changes are mind- boggling for world peace. Kids go to bed at night without the same fear of nuclear war. And change for change sake isnt enough. We saw that message in the late 70s when heard a lot about change, and what happened, that misery index went right through the roof. But my economic program is the kind of change we want. And the way were going to get it done is were going to have a brand new Congress. A lot of them are thrown out because of all the scandals. Ill sit down with them, Democrats and Republicans alike, and work for my agenda for American renewal, which represents real change. But Id say, if you had to separate out, I think its experience at this level.",Pres,1992.0,1992-10-11,1.0
Jim Lehrer,"Governor Clinton, how do you respond to the President on the — you have two minutes — on the question of experience? He says that is what distinguishes him from the other two of you.",Pres,1992.0,1992-10-11,0.0
Bill Clinton,"I believe experience counts, but its not everything. Values, judgment, and the record that I have amassed in my state also should count for something. Ive worked hard to create good jobs and to educate people. My state now ranks first in the country in job growth this year, fourth in income growth, fourth in reduction of poverty, third in overall economic performance, according to a major news magazine. Thats because we believe in investing in education and in jobs. And we have to change in this country. You know, my wife, Hillary, gave me a book about a year ago in which the author defined insanity as just doing the same old thing over and over again and expecting a different result. We have got to have the courage to change. Experience is important, yes. Ive gotten a lot of good experience in dealing with ordinary people over the last year and month. Ive touched more peoples lives and seen more heartbreak and hope, more pain and more promise, than anybody else whos run for president this year. I think the American people deserve better than theyre getting. We have gone from first to thirteenth in wages in the world in the last twelve years, since Mr. Bush and Mr. Reagan have been in. Personal income has dropped while people have worked harder. In the last four years, there have been twice as many bankruptcies as new jobs created. We need a new approach. The same old experience is not relevant. Were living in a new world after the Cold War, and what works in this new world is not trickle down, not government for the benefit of the privileged few, not tax and spend, but a commitment to invest in American jobs and American education, controlling American health care costs, and bringing the American people together. That is what works. And you can have the right kind of experience and the wrong kind of experience. Mine is rooted in the real lives of real people, and it will bring real results if we have the courage to change.",Pres,1992.0,1992-10-11,1.0
Jim Lehrer,"President Bush, one minute to respond.",Pres,1992.0,1992-10-11,0.0
George H. W. Bush,"I just thought of another — another big difference here between me. I dont believe Mr. Perot feels this way, but I know Governor Clinton did because I want to accurately quote him. He thinks, I think he said, that the country is coming apart at the seams. Now, I know that the only way he can win is to make everybody believe the economys worse than it is. But this country is not coming apart at the seams, for heavens sakes. Were the United States of America. In spite of the economic problems, were the most respected economy around the world. Many would trade for it. Weve been caught up in a global slowdown. We can do much, much better, but we ought not try to convince the American people that America is a country thats coming apart at the seams. I would hate to be running for president and think that the only way I could win would be to convince everybody how horrible things are. Yes, there are big problems, and yes, people are hurting. But I believe that this Agenda for American renewal I have is the answer to do it, and I believe we can get it done now, whereas we didnt in the past, because youre going to have a whole brand new bunch of people in the Congress that are going to have to listen to the same American people Im listening to.",Pres,1992.0,1992-10-11,1.0
